,vendorid,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Duration
0,2,2,2.41,1,N,79,162,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,8
1,1,1,2.0,1,N,237,143,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,9
2,2,2,0.86,1,N,237,161,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,8
3,1,2,1.1,1,N,229,141,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,5
4,1,2,12.0,1,N,163,41,1,39.0,0.5,0.5,2.0,0.0,0.3,42.3,41
5,2,5,11.05,1,N,168,259,2,31.0,0.5,0.5,0.0,0.0,0.3,32.3,19
6,2,1,1.53,1,N,239,151,1,7.5,0.5,0.5,1.2,0.0,0.3,10.0,6
7,2,1,0.39,1,N,141,141,1,4.0,0.5,0.5,0.53,0.0,0.3,5.83,2
8,1,1,0.8,1,N,238,238,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35,7
9,2,6,0.63,1,N,50,246,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,4
10,2,1,3.12,1,N,211,161,1,15.5,0.5,0.5,2.0,0.0,0.3,18.8,20
11,1,1,3.4,1,N,161,50,2,26.0,0.5,0.5,0.0,0.0,0.3,27.3,43
12,2,6,0.73,1,N,238,43,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,4
13,1,1,9.3,1,N,107,116,1,27.5,0.5,0.5,2.0,0.0,0.3,30.8,22
14,1,1,1.8,1,N,158,107,1,10.0,0.5,0.5,1.7,0.0,0.3,13.0,12
15,1,1,0.4,1,N,263,263,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2
16,1,2,7.8,1,N,138,170,1,22.0,0.5,0.5,8.7,5.76,0.3,37.76,12
17,1,2,3.1,1,N,143,170,1,13.0,0.5,0.5,3.55,0.0,0.3,17.85,15
18,2,1,0.51,1,N,263,141,1,3.5,0.5,0.5,0.96,0.0,0.3,5.76,1
19,1,3,1.3,1,N,75,41,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,7
20,2,1,4.37,1,N,164,193,2,17.0,0.5,0.5,0.0,0.0,0.3,18.3,19
21,2,1,5.91,1,N,234,24,1,20.0,0.5,0.5,4.26,0.0,0.3,25.56,19
22,2,1,0.58,1,N,144,79,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,4
23,2,1,5.15,1,N,234,54,1,17.5,0.5,0.5,3.76,0.0,0.3,22.56,17
24,2,1,0.88,1,N,142,239,1,5.0,0.5,0.5,1.89,0.0,0.3,8.19,3
25,2,3,3.28,1,N,140,41,1,13.0,0.5,0.5,3.58,0.0,0.3,19.83,14
26,2,1,2.15,1,N,238,43,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,9
27,1,1,1.2,1,N,148,114,1,7.0,0.5,0.5,5.0,0.0,0.3,13.3,7
28,1,1,1.7,1,N,211,79,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75,8
29,1,2,0.8,1,N,125,144,1,5.5,0.5,0.5,2.0,0.0,0.3,8.8,5
30,2,1,0.84,1,N,158,90,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,6
31,1,2,7.8,1,N,138,255,1,22.5,0.5,0.5,2.5,0.0,0.3,26.3,15
32,2,1,4.37,1,N,243,167,1,17.5,0.5,0.5,0.0,0.0,0.3,18.8,21
33,2,6,1.33,1,N,74,152,1,7.0,0.5,0.5,2.49,0.0,0.3,10.79,7
34,1,2,4.2,1,N,79,140,1,14.0,0.5,0.5,3.8,0.0,0.3,19.1,14
35,2,1,0.64,1,N,238,151,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2
36,1,1,8.0,1,N,138,41,1,25.0,0.5,0.5,6.4,5.76,0.3,38.46,22
37,2,5,0.78,1,N,186,246,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,8
38,2,1,0.31,1,N,48,48,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,6
