,vendorid,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Duration
53,2,1,1.1,1,N,162,141,1,8.0,0.0,0.5,1.2,0.0,0.3,10.0,216
54,2,1,2.3,1,N,43,170,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3,19
55,2,1,2.3,1,N,43,170,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3,19
56,2,1,1.96,1,N,237,236,1,9.5,0.0,0.5,2.06,0.0,0.3,12.36,11
57,2,1,1.96,1,N,237,236,1,9.5,0.0,0.5,2.06,0.0,0.3,12.36,11
58,2,1,0.93,1,N,162,170,1,8.5,0.0,0.5,1.0,0.0,0.3,10.3,11
59,2,1,0.93,1,N,162,170,1,8.5,0.0,0.5,1.0,0.0,0.3,10.3,11
60,2,1,0.94,1,N,211,113,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,5
61,2,1,0.94,1,N,211,113,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,5
62,2,1,6.2,1,N,79,61,2,24.0,0.5,0.5,0.0,0.0,0.3,25.3,30
63,2,1,1.67,1,N,114,224,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,13
64,2,1,1.17,1,N,125,68,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,5
65,2,1,2.6,1,N,249,261,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,15
66,2,1,1.61,1,N,114,231,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,9
67,2,1,1.3,1,N,234,4,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,7
68,2,1,2.08,1,N,236,162,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,14
69,2,1,5.11,1,N,148,262,2,18.0,1.0,0.5,0.0,0.0,0.3,19.8,18
70,2,1,7.47,1,N,237,160,2,26.5,1.0,0.5,0.0,0.0,0.3,28.3,28
71,2,1,0.42,1,N,262,140,2,4.5,1.0,0.5,0.0,0.0,0.3,6.3,4
72,2,1,1.48,1,N,237,140,1,8.0,1.0,0.5,1.5,0.0,0.3,11.3,9
73,2,1,0.71,1,N,262,141,1,5.5,1.0,0.5,1.0,0.0,0.3,8.3,5
74,2,1,0.88,1,N,238,236,1,6.5,1.0,0.5,1.0,0.0,0.3,9.3,6
75,2,1,1.31,1,N,236,239,1,7.5,1.0,0.5,2.79,0.0,0.3,12.09,7
76,2,1,0.85,1,N,140,237,1,6.5,1.0,0.5,1.0,0.0,0.3,9.3,6
77,2,1,1.45,1,N,161,137,1,8.5,1.0,0.5,2.06,0.0,0.3,12.36,431
78,2,1,1.54,1,N,236,162,1,9.0,1.0,0.5,1.5,0.0,0.3,12.3,10
79,2,1,3.21,1,N,164,236,1,15.5,1.0,0.5,2.0,0.0,0.3,19.3,21
80,2,5,17.51,2,N,132,229,1,52.0,0.0,0.5,17.57,5.76,0.3,76.13,29
81,2,2,1.25,1,N,114,79,1,6.5,0.5,0.5,1.95,0.0,0.3,9.75,7
82,2,2,2.38,1,N,87,234,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,12
