,vendorid,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Duration
140,1,1,1.2,1,N,113,234,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,14
141,1,1,1.2,1,N,234,246,1,8.0,0.5,0.5,10.0,0.0,0.3,19.3,10
142,2,1,1.18,1,N,75,74,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,3
143,1,1,0.6,1,N,233,137,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3
144,2,3,0.67,1,N,79,4,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,1
145,2,1,0.95,1,N,163,161,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,1428
146,1,1,1.0,1,N,107,170,1,5.0,0.5,0.5,1.85,0.0,0.3,8.15,2
147,2,1,1.91,1,N,170,68,1,10.0,0.5,0.5,3.39,0.0,0.3,14.69,13
148,2,5,4.46,1,N,148,261,1,15.0,0.5,0.5,3.8,0.0,0.3,20.1,11
149,2,1,2.2,1,N,263,74,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,7
150,2,3,2.79,1,N,48,141,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56,15
151,2,1,0.96,1,N,170,186,1,8.0,0.5,0.5,2.32,0.0,0.3,11.62,10
152,2,1,2.75,1,N,50,140,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56,15
153,2,1,6.56,1,N,43,157,2,22.5,0.5,0.5,0.0,0.0,0.3,23.8,24
154,2,1,14.02,1,N,138,186,1,40.0,0.5,0.5,9.41,5.76,0.3,56.47,26
155,2,1,0.46,1,N,152,166,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2
156,1,1,4.4,1,N,148,163,1,19.5,0.5,0.5,2.5,0.0,0.3,23.3,27
157,1,1,16.4,4,N,138,265,1,49.0,0.5,0.5,10.05,0.0,0.3,60.35,27
158,2,1,2.73,1,N,74,237,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,13
159,2,6,2.41,1,N,142,262,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36,13
160,2,1,0.64,1,N,142,48,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,9
