,vendorid,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Duration
0,1,1,2.9,1,N,179,145,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,11
1,2,6,3.52,1,N,50,41,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,10
2,1,1,1.8,1,N,170,68,1,12.5,0.5,0.5,1.0,0.0,0.3,14.8,17
3,1,1,0.6,1,N,264,264,1,5.0,0.5,0.5,2.25,0.0,0.3,8.55,3
4,2,1,0.32,1,N,158,249,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,3
5,2,1,3.61,1,N,151,48,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56,9
6,1,1,0.8,1,N,264,264,1,5.0,0.5,0.5,1.55,0.0,0.3,7.85,4
7,2,1,18.73,2,N,132,114,1,52.0,0.0,0.5,8.78,5.76,0.3,67.34,35
8,1,1,9.1,1,N,48,127,1,33.0,0.5,0.5,10.0,0.0,0.3,44.3,30
9,2,2,2.22,1,N,24,236,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,10
10,1,1,0.7,1,N,142,50,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,7
11,1,1,3.4,1,N,238,229,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,19
12,2,5,3.59,1,N,161,68,2,17.0,0.5,0.5,0.0,0.0,0.3,18.3,24
13,1,1,1.3,1,N,161,237,1,9.5,0.5,0.5,2.15,0.0,0.3,12.95,12
14,1,3,5.8,1,N,158,41,1,24.0,0.5,0.5,3.8,0.0,0.3,29.1,31
15,2,1,0.11,1,N,162,161,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0
16,1,1,1.0,1,N,239,142,1,5.5,0.5,0.5,1.7,0.0,0.3,8.5,4
17,1,1,0.5,1,N,231,209,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3
18,2,1,1.03,1,N,48,143,1,6.5,0.5,0.5,1.2,0.0,0.3,9.0,6
19,1,1,4.0,1,N,229,260,1,14.0,0.5,0.5,3.05,0.0,0.3,18.35,12
20,2,1,0.85,1,N,137,79,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,4
21,2,1,0.85,1,N,137,79,4,-5.0,-0.5,-0.5,0.0,0.0,-0.3,-6.3,4
22,2,5,1.53,1,N,107,90,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3,28
23,1,2,16.6,1,N,162,26,2,48.5,0.5,0.5,0.0,5.76,0.3,55.56,38
24,1,1,3.0,1,N,144,170,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3,18
25,1,1,1.8,1,N,158,68,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,15
26,1,1,1.1,1,N,141,237,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8,4
27,1,1,6.4,1,N,162,13,3,20.0,0.5,0.5,0.0,0.0,0.3,21.3,15
28,2,1,15.81,1,N,140,77,1,47.0,0.5,0.5,0.0,0.0,0.3,48.3,39
29,2,1,5.94,1,N,229,80,1,20.5,0.5,0.5,4.36,0.0,0.3,26.16,21
30,2,1,1.58,1,N,263,141,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,6
31,2,1,3.21,1,N,164,236,1,16.5,0.5,0.5,3.56,0.0,0.3,21.36,22
32,2,1,0.66,1,N,239,239,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,4
33,1,1,0.7,1,N,164,164,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,11
34,2,1,1.43,1,N,236,163,1,6.5,0.5,0.5,1.17,0.0,0.3,8.97,5
35,2,1,0.71,1,N,142,48,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,7
36,1,1,0.3,1,N,116,116,1,3.0,0.5,0.5,0.85,0.0,0.3,5.15,1
37,4,1,0.22,1,N,170,164,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,2
38,2,1,1.63,1,N,142,238,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,3
39,2,1,20.91,1,N,132,52,1,56.5,0.5,0.5,11.56,0.0,0.3,69.36,36
40,1,2,2.8,1,N,79,68,1,16.0,0.5,0.5,1.73,0.0,0.3,19.03,24
41,2,1,2.42,1,N,137,237,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,7
42,2,3,13.2,1,N,137,130,2,36.0,0.5,0.5,0.0,5.76,0.3,43.06,20
43,2,2,0.7,1,N,113,114,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,4
44,2,3,1.23,1,N,107,170,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,6
45,2,1,6.58,2,N,138,262,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,12
46,2,6,2.71,1,N,162,239,1,10.5,0.5,0.5,3.54,0.0,0.3,15.34,11
47,2,1,4.79,1,N,140,68,1,17.0,0.5,0.5,3.66,0.0,0.3,21.96,17
48,2,4,4.29,1,N,161,7,2,16.5,0.5,0.5,0.0,0.0,0.3,17.8,18
49,2,1,8.57,1,N,68,225,1,30.0,0.5,0.5,6.26,0.0,0.3,37.56,36
50,2,1,4.1,1,N,48,209,1,18.5,0.5,0.5,3.96,0.0,0.3,23.76,27
51,1,2,0.8,1,N,143,50,1,6.0,0.5,0.5,2.15,0.0,0.3,9.45,7
52,2,2,0.0,5,N,79,114,1,5.0,0.0,0.0,1.32,0.0,0.3,6.62,0
