,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,location
0,2,2018-12-31T23:54:51.000,2018-12-31T23:59:04.000,1,0.8,1,N,249,158,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,Noida Sec-9
1,1,2018-12-31T23:54:50.000,2019-01-01T00:22:43.000,1,6.1,1,N,264,264,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3,Noida Sec-30
2,1,2018-12-31T23:54:49.000,2019-01-01T00:02:09.000,1,0.8,1,N,107,107,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,Noida Sec-50
3,2,2018-12-31T23:54:49.000,2019-01-01T00:09:40.000,1,2.56,1,N,237,170,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,Noida Sec-2
4,1,2018-12-31T23:54:49.000,2019-01-01T00:38:42.000,1,17.7,2,N,132,90,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,Noida Sec-8
5,1,2018-12-31T23:54:48.000,2019-01-01T00:06:54.000,1,1.2,1,N,137,186,1,9.5,0.5,0.5,1.0,0.0,0.3,11.8,Noida Sec-38
6,1,2018-12-31T23:54:47.000,2019-01-01T00:20:18.000,1,6.8,1,N,48,87,1,23.0,0.5,0.5,1.0,0.0,0.3,25.3,Noida Sec-6
7,1,2018-12-31T23:54:47.000,2019-01-01T00:03:52.000,4,1.0,1,N,158,114,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55,Noida Sec-24
8,2,2018-12-31T23:54:43.000,2019-01-01T00:14:01.000,1,5.81,1,N,161,88,2,20.0,0.5,0.5,0.0,0.0,0.3,21.3,Noida Sec-3
9,1,2018-12-31T23:54:43.000,2019-01-01T00:26:05.000,1,17.8,2,N,132,148,1,52.0,0.0,0.5,15.8,0.0,0.3,68.6,Noida Sec-8
10,1,2018-12-31T23:54:42.000,2019-01-01T00:12:05.000,2,4.9,1,N,144,263,1,16.5,0.5,0.5,3.55,0.0,0.3,21.35,Noida Sec-26
11,2,2018-12-31T23:54:40.000,2019-01-01T00:20:19.000,1,7.32,1,N,211,24,2,25.0,0.5,0.5,0.0,0.0,0.3,26.3,Noida Sec-35
12,2,2018-12-31T23:54:39.000,2018-12-31T23:59:45.000,5,1.23,1,N,141,170,1,6.0,0.5,0.5,1.1,0.0,0.3,8.4,Noida Sec-25
13,1,2018-12-31T23:54:38.000,2019-01-01T00:07:18.000,1,1.8,1,N,68,246,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,Noida Sec-22
14,1,2018-12-31T23:54:37.000,2018-12-31T23:59:44.000,1,0.5,1,N,144,114,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,Noida Sec-26
15,2,2018-12-31T23:54:36.000,2019-01-01T00:02:09.000,1,1.28,1,N,226,226,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,Noida Sec-82
16,2,2018-12-31T23:54:35.000,2018-12-31T23:58:11.000,1,1.01,1,N,237,236,1,5.0,0.5,0.5,1.58,0.0,0.3,7.88,Noida Sec-2
17,2,2018-12-31T23:54:35.000,2018-12-31T23:57:39.000,1,0.74,1,N,48,50,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,Noida Sec-6
18,2,2018-12-31T23:54:35.000,2018-12-31T23:57:59.000,2,0.78,1,N,238,24,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,Noida Sec-15
19,1,2018-12-31T23:54:35.000,2019-01-01T00:09:29.000,1,4.4,1,N,161,7,1,15.0,0.5,0.5,4.85,0.0,0.3,21.15,Noida Sec-3
20,2,2018-12-31T23:54:34.000,2018-12-31T23:56:49.000,3,0.38,1,N,142,142,1,3.5,0.5,0.5,1.44,0.0,0.3,6.24,Noida Sec-1
