,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,location
0,2,2018-12-31T23:51:27.000,2018-12-31T23:59:36.000,2,2.41,1,N,79,162,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,Noida Sec-4
1,1,2018-12-31T23:51:27.000,2019-01-01T00:01:06.000,1,2.0,1,N,237,143,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,Noida Sec-2
2,2,2018-12-31T23:51:26.000,2018-12-31T23:59:52.000,2,0.86,1,N,237,161,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,Noida Sec-2
3,1,2018-12-31T23:51:25.000,2018-12-31T23:57:16.000,2,1.1,1,N,229,141,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,Noida Sec-18
4,1,2018-12-31T23:51:25.000,2019-01-01T00:33:10.000,2,12.0,1,N,163,41,1,39.0,0.5,0.5,2.0,0.0,0.3,42.3,Noida Sec-13
5,2,2018-12-31T23:51:24.000,2019-01-01T00:10:37.000,5,11.05,1,N,168,259,2,31.0,0.5,0.5,0.0,0.0,0.3,32.3,Noida Sec-59
6,2,2018-12-31T23:51:23.000,2018-12-31T23:58:14.000,1,1.53,1,N,239,151,1,7.5,0.5,0.5,1.2,0.0,0.3,10.0,Noida Sec-27
7,2,2018-12-31T23:51:23.000,2018-12-31T23:54:15.000,1,0.39,1,N,141,141,1,4.0,0.5,0.5,0.53,0.0,0.3,5.83,Noida Sec-25
8,1,2018-12-31T23:51:23.000,2018-12-31T23:58:31.000,1,0.8,1,N,238,238,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35,Noida Sec-15
9,2,2018-12-31T23:51:22.000,2018-12-31T23:55:55.000,6,0.63,1,N,50,246,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,Noida Sec-17
10,2,2018-12-31T23:51:22.000,2019-01-01T00:12:15.000,1,3.12,1,N,211,161,1,15.5,0.5,0.5,2.0,0.0,0.3,18.8,Noida Sec-35
11,1,2018-12-31T23:51:21.000,2019-01-01T00:34:47.000,1,3.4,1,N,161,50,2,26.0,0.5,0.5,0.0,0.0,0.3,27.3,Noida Sec-3
12,2,2018-12-31T23:51:21.000,2018-12-31T23:55:34.000,6,0.73,1,N,238,43,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,Noida Sec-15
13,1,2018-12-31T23:51:21.000,2019-01-01T00:13:48.000,1,9.3,1,N,107,116,1,27.5,0.5,0.5,2.0,0.0,0.3,30.8,Noida Sec-50
14,1,2018-12-31T23:51:21.000,2019-01-01T00:03:59.000,1,1.8,1,N,158,107,1,10.0,0.5,0.5,1.7,0.0,0.3,13.0,Noida Sec-24
15,1,2018-12-31T23:51:20.000,2018-12-31T23:54:11.000,1,0.4,1,N,263,263,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,Noida Sec-7
16,1,2018-12-31T23:51:19.000,2019-01-01T00:04:11.000,2,7.8,1,N,138,170,1,22.0,0.5,0.5,8.7,5.76,0.3,37.76,Noida Sec-11
17,1,2018-12-31T23:51:17.000,2019-01-01T00:07:05.000,2,3.1,1,N,143,170,1,13.0,0.5,0.5,3.55,0.0,0.3,17.85,Noida Sec-52
18,2,2018-12-31T23:51:17.000,2018-12-31T23:53:01.000,1,0.51,1,N,263,141,1,3.5,0.5,0.5,0.96,0.0,0.3,5.76,Noida Sec-7
19,1,2018-12-31T23:51:15.000,2018-12-31T23:58:19.000,3,1.3,1,N,75,41,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,Noida Sec-28
20,2,2018-12-31T23:51:15.000,2019-01-01T00:11:00.000,1,4.37,1,N,164,193,2,17.0,0.5,0.5,0.0,0.0,0.3,18.3,Noida Sec-12
21,2,2018-12-31T23:51:15.000,2019-01-01T00:10:36.000,1,5.91,1,N,234,24,1,20.0,0.5,0.5,4.26,0.0,0.3,25.56,Noida Sec-34
22,2,2018-12-31T23:51:14.000,2018-12-31T23:55:59.000,1,0.58,1,N,144,79,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,Noida Sec-26
23,2,2018-12-31T23:51:13.000,2019-01-01T00:09:04.000,1,5.15,1,N,234,54,1,17.5,0.5,0.5,3.76,0.0,0.3,22.56,Noida Sec-34
24,2,2018-12-31T23:51:13.000,2018-12-31T23:55:11.000,1,0.88,1,N,142,239,1,5.0,0.5,0.5,1.89,0.0,0.3,8.19,Noida Sec-1
25,2,2018-12-31T23:51:12.000,2019-01-01T00:05:16.000,3,3.28,1,N,140,41,1,13.0,0.5,0.5,3.58,0.0,0.3,19.83,Noida Sec-31
26,2,2018-12-31T23:51:12.000,2019-01-01T00:00:12.000,1,2.15,1,N,238,43,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,Noida Sec-15
27,1,2018-12-31T23:51:10.000,2018-12-31T23:58:14.000,1,1.2,1,N,148,114,1,7.0,0.5,0.5,5.0,0.0,0.3,13.3,Noida Sec-14
28,1,2018-12-31T23:51:10.000,2018-12-31T23:59:29.000,1,1.7,1,N,211,79,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75,Noida Sec-35
29,1,2018-12-31T23:51:09.000,2018-12-31T23:56:45.000,2,0.8,1,N,125,144,1,5.5,0.5,0.5,2.0,0.0,0.3,8.8,Noida Sec-29
30,2,2018-12-31T23:51:09.000,2018-12-31T23:58:03.000,1,0.84,1,N,158,90,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,Noida Sec-24
31,1,2018-12-31T23:51:08.000,2019-01-01T00:06:10.000,2,7.8,1,N,138,255,1,22.5,0.5,0.5,2.5,0.0,0.3,26.3,Noida Sec-11
32,2,2018-12-31T23:51:08.000,2019-01-01T00:12:27.000,1,4.37,1,N,243,167,1,17.5,0.5,0.5,0.0,0.0,0.3,18.8,Noida Sec-55
33,2,2018-12-31T23:51:07.000,2018-12-31T23:58:25.000,6,1.33,1,N,74,152,1,7.0,0.5,0.5,2.49,0.0,0.3,10.79,Noida Sec-56
34,1,2018-12-31T23:51:06.000,2019-01-01T00:05:09.000,2,4.2,1,N,79,140,1,14.0,0.5,0.5,3.8,0.0,0.3,19.1,Noida Sec-4
