,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,location
35,2,2018-12-31T23:58:29.000,2019-01-01T00:06:24.000,1,0.71,1,N,142,48,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,Noida Sec-1
36,1,2018-12-31T23:58:29.000,2018-12-31T23:59:33.000,1,0.3,1,N,116,116,1,3.0,0.5,0.5,0.85,0.0,0.3,5.15,Noida Sec-40
37,4,2018-12-31T23:58:29.000,2019-01-01T00:00:42.000,1,0.22,1,N,170,164,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,Noida Sec-5
38,2,2018-12-31T23:58:28.000,2019-01-01T00:02:21.000,1,1.63,1,N,142,238,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,Noida Sec-1
39,2,2018-12-31T23:58:28.000,2019-01-01T00:35:13.000,1,20.91,1,N,132,52,1,56.5,0.5,0.5,11.56,0.0,0.3,69.36,Noida Sec-8
40,1,2018-12-31T23:58:27.000,2019-01-01T00:22:30.000,2,2.8,1,N,79,68,1,16.0,0.5,0.5,1.73,0.0,0.3,19.03,Noida Sec-4
41,2,2018-12-31T23:58:26.000,2019-01-01T00:05:44.000,1,2.42,1,N,137,237,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,Noida Sec-38
42,2,2018-12-31T23:58:25.000,2019-01-01T00:19:24.000,3,13.2,1,N,137,130,2,36.0,0.5,0.5,0.0,5.76,0.3,43.06,Noida Sec-38
43,2,2018-12-31T23:58:23.000,2019-01-01T00:02:42.000,2,0.7,1,N,113,114,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,Noida Sec-16
44,2,2018-12-31T23:58:21.000,2019-01-01T00:04:48.000,3,1.23,1,N,107,170,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,Noida Sec-50
45,2,2018-12-31T23:58:18.000,2019-01-01T00:10:30.000,1,6.58,2,N,138,262,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,Noida Sec-11
46,2,2018-12-31T23:58:12.000,2019-01-01T00:09:42.000,6,2.71,1,N,162,239,1,10.5,0.5,0.5,3.54,0.0,0.3,15.34,Noida Sec-19
47,2,2018-12-31T23:58:12.000,2019-01-01T00:15:40.000,1,4.79,1,N,140,68,1,17.0,0.5,0.5,3.66,0.0,0.3,21.96,Noida Sec-31
48,2,2018-12-31T23:58:11.000,2019-01-01T00:16:55.000,4,4.29,1,N,161,7,2,16.5,0.5,0.5,0.0,0.0,0.3,17.8,Noida Sec-3
49,2,2018-12-31T23:58:11.000,2019-01-01T00:34:42.000,1,8.57,1,N,68,225,1,30.0,0.5,0.5,6.26,0.0,0.3,37.56,Noida Sec-22
50,2,2018-12-31T23:58:10.000,2019-01-01T00:25:52.000,1,4.1,1,N,48,209,1,18.5,0.5,0.5,3.96,0.0,0.3,23.76,Noida Sec-6
51,1,2018-12-31T23:58:09.000,2019-01-01T00:05:09.000,2,0.8,1,N,143,50,1,6.0,0.5,0.5,2.15,0.0,0.3,9.45,Noida Sec-52
52,2,2018-12-31T23:58:09.000,2018-12-31T23:58:11.000,2,0.0,5,N,79,114,1,5.0,0.0,0.0,1.32,0.0,0.3,6.62,Noida Sec-4
53,1,2018-12-31T23:58:06.000,2019-01-01T00:04:24.000,2,1.1,1,N,100,170,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,Noida Sec-63
54,1,2018-12-31T23:58:05.000,2019-01-01T00:16:35.000,1,2.5,1,N,186,143,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,Noida Sec-23
55,2,2018-12-31T23:58:04.000,2019-01-01T00:18:58.000,4,5.15,1,N,255,7,1,18.5,0.5,0.5,3.96,0.0,0.3,23.76,Noida Sec-54
56,1,2018-12-31T23:58:02.000,2019-01-01T00:04:56.000,1,1.0,1,N,209,231,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35,Noida Sec-64
57,1,2018-12-31T23:58:02.000,2019-01-01T00:02:13.000,1,0.7,1,N,239,142,1,5.0,0.5,0.5,1.55,0.0,0.3,7.85,Noida Sec-27
58,4,2018-12-31T23:58:01.000,2019-01-01T00:20:55.000,1,8.68,1,N,142,212,2,26.5,0.5,0.5,0.0,0.0,0.3,27.8,Noida Sec-1
59,1,2018-12-31T23:58:01.000,2019-01-01T00:09:43.000,1,1.4,1,N,246,50,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,Noida Sec-33
60,2,2018-12-31T23:58:00.000,2019-01-01T00:16:28.000,1,1.43,1,N,186,48,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,Noida Sec-23
61,1,2018-12-31T23:57:58.000,2019-01-01T00:17:58.000,4,3.2,1,N,164,236,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,Noida Sec-12
62,2,2018-12-31T23:57:58.000,2019-01-01T00:07:03.000,1,0.64,1,N,161,162,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,Noida Sec-3
63,2,2018-12-31T23:57:58.000,2019-01-01T00:18:36.000,1,7.81,1,N,138,166,1,24.5,0.5,0.5,20.0,5.76,0.3,51.56,Noida Sec-11
64,4,2018-12-31T23:57:55.000,2019-01-01T00:11:29.000,1,2.1,1,N,148,170,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16,Noida Sec-14
65,2,2018-12-31T23:57:54.000,2019-01-01T00:06:17.000,3,1.04,1,N,231,148,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,Noida Sec-20
66,1,2018-12-31T23:57:54.000,2019-01-01T00:15:19.000,1,3.0,1,N,107,87,1,13.5,0.5,0.5,2.0,0.0,0.3,16.8,Noida Sec-50
67,1,2018-12-31T23:57:50.000,2019-01-01T00:02:50.000,2,0.7,1,N,264,264,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,Noida Sec-30
68,2,2018-12-31T23:57:50.000,2019-01-01T00:16:23.000,4,1.97,1,N,186,246,1,12.5,0.5,0.5,3.45,0.0,0.3,17.25,Noida Sec-23
69,1,2018-12-31T23:57:48.000,2019-01-01T00:07:20.000,1,1.9,1,N,151,263,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,Noida Sec-32
70,2,2018-12-31T23:57:48.000,2019-01-01T00:09:48.000,1,4.16,1,N,255,33,1,14.0,0.5,0.5,1.7,0.0,0.3,17.0,Noida Sec-54
71,2,2018-12-31T23:57:47.000,2018-12-31T23:59:44.000,1,0.18,5,N,265,265,1,100.0,0.0,0.5,0.0,0.0,0.3,100.8,Noida Sec-69
72,1,2018-12-31T23:57:47.000,2019-01-01T00:01:09.000,1,0.2,1,N,249,249,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,Noida Sec-9
73,2,2018-12-31T23:57:46.000,2019-01-01T00:32:01.000,3,18.7,1,N,132,26,2,52.5,0.5,0.5,0.0,0.0,0.3,53.8,Noida Sec-8
74,2,2018-12-31T23:57:45.000,2019-01-01T00:00:20.000,1,0.34,1,N,229,161,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,Noida Sec-18
75,4,2018-12-31T23:57:41.000,2019-01-01T00:02:39.000,1,1.24,1,N,239,151,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,Noida Sec-27
76,1,2018-12-31T23:57:37.000,2018-12-31T23:59:49.000,1,0.6,1,N,68,68,1,4.0,0.5,0.5,1.05,0.0,0.3,6.35,Noida Sec-22
77,2,2018-12-31T23:57:34.000,2019-01-01T00:21:38.000,1,5.53,1,N,237,148,1,21.0,0.5,0.5,4.46,0.0,0.3,26.76,Noida Sec-2
78,2,2018-12-31T23:57:32.000,2018-12-31T23:59:43.000,1,0.23,1,N,246,68,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,Noida Sec-33
79,1,2018-12-31T23:57:32.000,2019-01-01T00:03:34.000,1,1.5,1,N,141,236,1,7.0,0.5,0.5,1.25,0.0,0.3,9.55,Noida Sec-25
80,2,2018-12-31T23:57:32.000,2019-01-01T00:03:23.000,2,0.98,1,N,148,79,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,Noida Sec-14
81,1,2018-12-31T23:57:31.000,2019-01-01T00:17:16.000,2,5.5,1,N,237,158,2,19.0,0.5,0.5,0.0,0.0,0.3,20.3,Noida Sec-2
82,2,2018-12-31T23:57:28.000,2019-01-01T00:20:21.000,2,9.61,1,N,262,56,2,28.5,0.5,0.5,0.0,0.0,0.3,29.8,Noida Sec-41
83,2,2018-12-31T23:57:27.000,2019-01-01T00:06:23.000,1,1.57,1,N,186,158,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,Noida Sec-23
84,2,2018-12-31T23:57:26.000,2019-01-01T00:03:28.000,5,1.53,1,N,42,41,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,Noida Sec-43
85,2,2018-12-31T23:57:24.000,2019-01-01T00:01:56.000,1,0.7,1,N,90,90,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,Noida Sec-42
86,1,2018-12-31T23:57:23.000,2019-01-01T00:04:16.000,2,1.6,1,N,237,43,1,7.0,0.5,0.5,2.08,0.0,0.3,10.38,Noida Sec-2
87,1,2018-12-31T23:57:23.000,2019-01-01T00:21:24.000,1,12.8,1,N,119,265,2,36.0,0.5,0.5,0.0,0.0,0.3,37.3,Noida Sec-70
88,1,2018-12-31T23:57:22.000,2018-12-31T23:58:13.000,1,2.1,1,N,68,68,3,2.5,0.5,0.5,0.0,0.0,0.3,3.8,Noida Sec-22
89,1,2018-12-31T23:57:22.000,2019-01-01T00:05:40.000,1,1.1,1,N,113,4,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,Noida Sec-16
90,1,2018-12-31T23:57:21.000,2019-01-01T00:17:26.000,2,9.3,1,N,132,131,2,27.0,0.5,0.5,0.0,0.0,0.3,28.3,Noida Sec-8
91,1,2018-12-31T23:57:20.000,2019-01-01T00:01:08.000,3,0.4,1,N,262,263,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,Noida Sec-41
92,1,2018-12-31T23:57:20.000,2019-01-01T00:06:49.000,1,2.4,1,N,35,222,1,9.5,0.5,0.5,0.0,0.0,0.3,10.8,Noida Sec-71
93,1,2018-12-31T23:57:19.000,2019-01-01T00:12:16.000,1,1.6,1,N,74,75,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,Noida Sec-56
94,1,2018-12-31T23:57:19.000,2019-01-01T00:20:45.000,2,4.9,1,N,239,249,1,19.0,0.5,0.5,6.05,0.0,0.3,26.35,Noida Sec-27
95,1,2018-12-31T23:57:19.000,2019-01-01T00:08:24.000,1,2.6,1,N,234,141,1,10.5,0.5,0.5,2.35,0.0,0.3,14.15,Noida Sec-34
96,2,2018-12-31T23:57:18.000,2018-12-31T23:59:13.000,5,0.25,1,N,140,141,1,3.5,0.5,0.5,1.44,0.0,0.3,6.24,Noida Sec-31
97,2,2018-12-31T23:57:18.000,2019-01-01T00:15:16.000,3,5.4,1,N,229,166,1,17.5,0.5,0.5,5.64,0.0,0.3,24.44,Noida Sec-18
98,2,2018-12-31T23:57:17.000,2019-01-01T00:07:28.000,1,4.85,1,N,132,219,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,Noida Sec-8
99,2,2018-12-31T23:57:16.000,2019-01-01T00:25:17.000,1,5.13,1,N,249,239,1,21.5,0.5,0.5,4.56,0.0,0.3,27.36,Noida Sec-9
100,1,2018-12-31T23:57:16.000,2018-12-31T23:59:00.000,1,0.6,1,N,140,263,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,Noida Sec-31
101,2,2018-12-31T23:57:16.000,2019-01-01T00:40:29.000,1,22.26,2,N,132,142,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,Noida Sec-8
102,2,2018-12-31T23:57:13.000,2019-01-01T00:05:53.000,1,2.05,1,N,43,233,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,Noida Sec-21
103,2,2018-12-31T23:57:10.000,2019-01-01T00:04:42.000,1,1.49,1,N,75,151,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,Noida Sec-28
104,1,2018-12-31T23:57:09.000,2019-01-01T00:14:49.000,2,3.3,1,N,234,261,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,Noida Sec-34
105,2,2018-12-31T23:57:08.000,2019-01-01T00:23:01.000,2,2.07,1,N,161,113,2,16.5,0.5,0.5,0.0,0.0,0.3,17.8,Noida Sec-3
106,2,2018-12-31T23:57:07.000,2019-01-01T00:03:53.000,2,0.76,1,N,100,234,1,6.0,0.5,0.5,0.0,0.0,0.3,7.3,Noida Sec-63
107,2,2018-12-31T23:57:07.000,2019-01-01T00:26:53.000,1,4.92,1,N,264,264,2,21.0,0.5,0.5,0.0,0.0,0.3,22.3,Noida Sec-30
108,1,2018-12-31T23:57:06.000,2019-01-01T00:00:28.000,1,0.7,1,N,48,48,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,Noida Sec-6
109,1,2018-12-31T23:57:06.000,2019-01-01T00:00:07.000,2,0.4,1,N,246,246,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,Noida Sec-33
110,2,2018-12-31T23:57:04.000,2019-01-01T00:02:22.000,6,1.91,1,N,142,151,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,Noida Sec-1
111,1,2018-12-31T23:57:04.000,2019-01-01T00:01:22.000,1,0.6,1,N,79,4,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,Noida Sec-4
112,2,2018-12-31T23:57:04.000,2019-01-01T00:14:09.000,1,3.93,1,N,68,209,1,13.5,0.5,0.5,2.96,0.0,0.3,17.76,Noida Sec-22
113,1,2018-12-31T23:57:02.000,2019-01-01T00:02:22.000,1,0.9,1,N,163,237,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,Noida Sec-13
114,2,2018-12-31T23:57:01.000,2019-01-01T00:05:38.000,5,3.28,1,N,162,226,1,11.0,0.5,0.5,0.01,0.0,0.3,12.31,Noida Sec-19
115,2,2018-12-31T23:56:59.000,2019-01-01T00:07:04.000,1,0.74,1,N,164,170,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,Noida Sec-12
116,1,2018-12-31T23:56:59.000,2019-01-01T00:16:31.000,2,1.4,1,N,142,48,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,Noida Sec-1
117,1,2018-12-31T23:56:58.000,2019-01-01T00:00:12.000,1,0.7,1,N,238,151,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,Noida Sec-15
118,2,2018-12-31T23:56:54.000,2019-01-01T00:37:31.000,1,23.68,2,N,132,50,1,52.0,0.0,0.5,17.57,5.76,0.3,76.13,Noida Sec-8
119,1,2018-12-31T23:56:51.000,2019-01-01T00:23:32.000,3,18.3,2,N,132,75,1,52.0,0.0,0.5,15.0,5.76,0.3,73.56,Noida Sec-8
120,2,2018-12-31T23:56:51.000,2019-01-01T00:02:58.000,1,0.94,1,N,237,141,1,6.5,0.5,0.5,1.95,0.0,0.3,9.75,Noida Sec-2
121,2,2018-12-31T23:56:50.000,2019-01-01T00:12:00.000,2,2.82,1,N,144,107,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96,Noida Sec-26
122,1,2018-12-31T23:56:49.000,2019-01-01T00:14:47.000,1,4.2,1,N,237,48,1,16.0,0.5,0.5,4.3,0.0,0.3,21.6,Noida Sec-2
123,2,2018-12-31T23:56:49.000,2019-01-01T00:42:48.000,1,8.75,1,N,181,161,1,36.0,0.5,0.5,2.0,0.0,0.3,39.3,Noida Sec-67
124,1,2018-12-31T23:56:48.000,2019-01-01T00:22:42.000,1,10.5,1,N,138,143,1,30.5,0.5,0.5,5.5,5.76,0.3,43.06,Noida Sec-11
125,2,2018-12-31T23:56:46.000,2018-12-31T23:59:30.000,2,0.55,1,N,231,87,1,4.0,0.5,0.5,0.1,0.0,0.3,5.4,Noida Sec-20
126,1,2018-12-31T23:56:44.000,2019-01-01T00:04:02.000,1,1.7,1,N,24,239,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15,Noida Sec-66
127,2,2018-12-31T23:56:44.000,2019-01-01T00:09:19.000,1,3.3,1,N,137,146,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56,Noida Sec-38
128,1,2018-12-31T23:56:42.000,2019-01-01T00:11:38.000,0,2.4,1,N,141,107,1,11.5,0.5,0.5,3.2,0.0,0.3,16.0,Noida Sec-25
129,2,2018-12-31T23:56:42.000,2019-01-01T01:09:45.000,5,10.22,1,N,249,129,2,48.0,0.5,0.5,0.0,0.0,0.3,49.3,Noida Sec-9
130,2,2018-12-31T23:56:40.000,2018-12-31T23:59:56.000,1,0.55,1,N,62,61,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,Noida Sec-45
131,1,2018-12-31T23:56:40.000,2019-01-01T00:08:33.000,1,2.0,1,N,158,232,1,10.0,0.5,0.5,2.25,0.0,0.3,13.55,Noida Sec-24
132,1,2018-12-31T23:56:39.000,2019-01-01T00:00:07.000,2,0.4,1,N,50,48,1,4.0,0.5,0.5,0.62,0.0,0.3,5.92,Noida Sec-17
133,2,2018-12-31T23:56:39.000,2019-01-01T00:06:30.000,2,0.87,1,N,68,48,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,Noida Sec-22
134,2,2018-12-31T23:56:39.000,2019-01-01T00:00:23.000,1,0.4,1,N,237,140,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96,Noida Sec-2
135,1,2018-12-31T23:56:38.000,2019-01-01T00:06:45.000,1,2.8,1,N,229,79,1,10.5,0.5,0.5,2.35,0.0,0.3,14.15,Noida Sec-18
136,1,2018-12-31T23:56:38.000,2019-01-01T00:03:35.000,2,0.4,1,N,48,48,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,Noida Sec-6
137,2,2018-12-31T23:56:36.000,2019-01-01T00:07:14.000,1,1.86,1,N,249,137,1,8.5,0.5,0.5,2.94,0.0,0.3,12.74,Noida Sec-9
138,1,2018-12-31T23:56:34.000,2019-01-01T00:05:27.000,1,3.5,1,N,141,4,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,Noida Sec-25
139,1,2018-12-31T23:56:33.000,2019-01-01T00:04:02.000,2,1.5,1,N,151,166,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,Noida Sec-32
